Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
5.2,31.1,40.7,23.0,4.9,57.9,1.2,12.3,0.7,5456.37991128503
10.7,28.0,30.0,31.3,3.7,44.6,1.0,17.5,1.9,3699.965087592699
27.7,26.0,22.0,24.3,5.9,34.5,0.6,33.1,1.6,2434.601928424539
8.3,31.6,37.5,22.6,3.9,54.9,1.2,16.1,1.3,4661.517131359936
30.3,27.8,27.6,14.3,6.0,36.8,0.8,35.7,6.4,2518.451033936376
6.7,34.5,42.7,16.1,5.4,62.1,1.2,14.8,0.4,5712.845365847376
11.1,26.0,30.8,32.1,4.2,41.7,1.4,18.9,1.7,3556.52553507531
6.8,31.9,42.7,18.6,5.0,59.6,1.2,15.1,0.5,5331.1083250125175
5.3,36.0,44.7,14.0,5.4,64.9,1.3,13.9,0.5,6050.293290264381
5.5,32.3,45.4,16.8,5.1,62.4,1.2,14.1,0.4,5888.009336028726
9.2,30.9,33.0,26.9,4.6,47.2,1.1,17.6,2.6,4187.442079285274
26.1,23.8,32.7,17.4,5.7,43.0,0.6,32.7,0.6,2961.388398077343
30.8,23.4,24.8,21.0,6.1,34.8,0.6,36.9,0.6,2294.089613934534
34.4,25.3,26.5,13.8,6.6,38.0,0.7,40.1,0.8,2345.9024884599603
13.47,29.19,28.99,28.35,4.55,41.47,1.17,21.56,2.9,3524.621839678809
15.56,25.87,32.89,25.68,5.02,43.93,1.04,23.45,0.88,3609.222492922668
28.3,30.3,24.4,17.0,6.5,40.2,0.7,34.8,0.8,2839.8141893290917
11.6,32.3,33.2,22.9,4.9,49.5,1.0,20.0,1.7,4226.429143942011
21.6,37.8,30.6,10.0,6.7,51.7,1.2,28.9,1.5,4094.2436280791826
10.3,30.4,32.9,26.4,4.6,46.7,0.9,18.9,2.5,4144.158611587077
9.7,35.1,32.1,23.1,4.6,49.0,0.9,18.4,4.0,4334.787720039723
29.7,21.6,30.7,18.0,5.9,39.0,0.5,36.2,0.4,2528.3900089501262
10.3,32.1,36.6,21.0,4.9,52.3,0.9,19.0,1.9,4569.356928950388
10.0,32.2,36.8,21.0,4.9,51.8,1.2,18.9,2.2,4577.61872327742
34.3,26.8,27.1,11.8,6.7,39.7,0.7,40.5,0.6,2527.074147175551
8.7,33.1,31.9,26.3,5.0,48.7,1.1,17.8,1.1,4384.800709185765
17.2,28.64,31.94,22.22,5.4,44.82,0.83,25.36,1.37,3622.755898100862
12.6,28.4,27.4,31.6,4.6,39.5,1.4,21.3,1.6,3376.7729458361428
31.51,25.55,29.32,13.62,6.41,40.51,0.59,38.15,0.72,2656.032128837844
31.39,30.22,29.03,9.36,6.48,42.69,0.98,38.06,2.43,2825.563417655625
13.99,38.43,25.87,21.71,5.21,47.57,1.44,22.63,1.44,4039.1365837355793
23.55,29.7,26.37,20.38,5.31,40.2,0.89,31.13,2.09,2907.838239682923
39.2,26.8,28.0,6.0,6.89,40.17,0.69,45.03,1.22,2258.949535096902
30.2,23.5,25.3,21.0,5.9,34.6,0.5,37.2,0.8,2239.2211933642443
36.9,26.7,26.2,10.2,6.9,38.0,0.6,43.2,1.1,2278.5236707511426
30.0,24.2,33.2,12.6,6.3,42.5,0.6,37.1,0.9,2781.792916894278
32.1,27.3,28.5,12.1,6.6,41.1,0.7,39.0,0.5,2676.4742854272417
17.7,37.38,30.87,14.05,5.56,51.4,1.64,26.24,1.11,4085.9787311439095
13.44,28.2,34.41,23.95,4.75,46.76,1.07,22.51,0.96,3919.797213081366
23.4,31.0,34.3,11.3,6.1,48.5,1.0,31.4,1.7,3617.6078541760653
